Alumni_ID,First_Name,Last_Name,SLU_Email,Personal_Email,Degree,Major,Graduation_Year,Visa_Phase,City,State,Country,Current_Employer_ID,Current_Role,Current_Technologies,Employment_Type,Salary_USD,Job_Portal_Source,LinkedIn_URL,Zip_Code
34,Charles,Wallace,charles.wallace657@slu.edu,charles.wallace321@yahoo.com,PhD,Electrical Engineering,2016,Full-Time,Ann Arbor,MI,USA,538,Data Engineer,"Spark, C++",Full-Time,125027,Indeed,https://www.linkedin.com/in/charleswallace555,58015
35,Rachel,Gray,rachel.gray877@slu.edu,rachel.gray422@outlook.com,BS,Finance,2022,OPT,White Plains,NY,USA,292,Data Analyst,"GCP, SQL",Contract,109952,Campus Career Fair,https://www.linkedin.com/in/rachelgray194,61189
36,Ray,Smith,ray.smith972@slu.edu,ray.smith647@outlook.com,BA,Computer Science,2022,STEM-OPT,Harrisburg,PA,USA,80,Data Analyst,"GCP, Java, JavaScript",Contract,62880,Handshake,https://www.linkedin.com/in/raysmith896,55276
37,Jeffrey,Pruitt,jeffrey.pruitt293@slu.edu,jeffrey.pruitt339@gmail.com,MBA,Biostatistics,2022,OPT,Tacoma,WA,USA,140,Salesforce Developer,"Spark, React, AWS",Part-Time,129603,Handshake,https://www.linkedin.com/in/jeffreypruitt219,44357
38,Jimmy,Thompson,jimmy.thompson411@slu.edu,jimmy.thompson456@outlook.com,BA,Computer Science,2019,Full-Time,Charlotte,NC,USA,318,Security Analyst,".NET, Tableau",Part-Time,108397,Indeed,https://www.linkedin.com/in/jimmythompson333,90165
39,Michael,Oconnell,michael.oconnell921@slu.edu,michael.oconnell369@yahoo.com,MS,Cybersecurity,2015,Full-Time,Columbus,OH,USA,707,ML Engineer,Power BI,Full-Time,104131,Campus Career Fair,https://www.linkedin.com/in/michaeloconnell206,99668
40,Thomas,Foster,thomas.foster884@slu.edu,thomas.foster292@outlook.com,BS,Computer Science,2023,OPT,Clayton,MO,USA,592,SDET,".NET, Power BI",Part-Time,94045,Company Site,https://www.linkedin.com/in/thomasfoster343,80277
41,Elizabeth,Black,elizabeth.black564@slu.edu,elizabeth.black363@gmail.com,MBA,Biostatistics,2017,Full-Time,Cary,NC,USA,491,Data Engineer,"Python, Node.js",Intern,95731,Indeed,https://www.linkedin.com/in/elizabethblack524,26923
42,Wayne,Clark,wayne.clark89@slu.edu,wayne.clark956@yahoo.com,MS,Data Science,2016,Full-Time,Cary,NC,USA,423,Data Analyst,"Tableau, .NET, Python",Full-Time,113598,Glassdoor,https://www.linkedin.com/in/wayneclark204,48955
43,Bryan,Johnson,bryan.johnson809@slu.edu,bryan.johnson314@gmail.com,MBA,Software Engineering,2024,CPT,Grand Rapids,MI,USA,194,ML Engineer,"Snowflake, Tableau",Contract,115986,Indeed,https://www.linkedin.com/in/bryanjohnson873,46540
44,Antonio,Nguyen,antonio.nguyen646@slu.edu,antonio.nguyen403@yahoo.com,MS,Biostatistics,2023,STEM-OPT,Charlotte,NC,USA,141,ML Engineer,Node.js,Part-Time,91584,LinkedIn,https://www.linkedin.com/in/antonionguyen260,64832
45,Mary,Robinson,mary.robinson545@slu.edu,mary.robinson915@yahoo.com,BA,Software Engineering,2023,OPT,Scottsdale,AZ,USA,132,Security Analyst,"React, Node.js, Power BI",Intern,85156,Campus Career Fair,https://www.linkedin.com/in/maryrobinson394,04113
46,Kevin,Clark,kevin.clark486@slu.edu,kevin.clark783@gmail.com,PhD,Biostatistics,2020,Full-Time,Irvine,CA,USA,482,DevOps Engineer,"Snowflake, Tableau",Full-Time,67130,Indeed,https://www.linkedin.com/in/kevinclark318,22649
47,Jason,Campos,jason.campos799@slu.edu,jason.campos362@yahoo.com,MBA,Data Science,2017,Full-Time,Tacoma,WA,USA,64,Security Analyst,"Snowflake, Kubernetes, Azure",Contract,107529,Campus Career Fair,https://www.linkedin.com/in/jasoncampos531,49913
48,Matthew,Wells,matthew.wells261@slu.edu,matthew.wells246@gmail.com,PhD,Information Systems,2023,STEM-OPT,Austin,TX,USA,299,Data Analyst,Java,Contract,85322,Referral,https://www.linkedin.com/in/matthewwells910,33949
49,Luis,Serrano,luis.serrano50@slu.edu,luis.serrano709@outlook.com,MS,Marketing,2021,Full-Time,Tampa,FL,USA,861,Security Analyst,"Java, JavaScript",Part-Time,119836,LinkedIn,https://www.linkedin.com/in/luisserrano749,03715
50,Frederick,Hernandez,frederick.hernandez686@slu.edu,frederick.hernandez651@yahoo.com,PhD,Computer Science,2025,CPT,Philadelphia,PA,USA,519,Software Engineer,"R, Spark",Intern,118560,Handshake,https://www.linkedin.com/in/frederickhernandez411,41030
51,Darrell,Mitchell,darrell.mitchell879@slu.edu,darrell.mitchell602@outlook.com,BA,Marketing,2018,Full-Time,Phoenix,AZ,USA,854,SDET,"Node.js, Python",Full-Time,93236,Company Site,https://www.linkedin.com/in/darrellmitchell204,57596
52,Nicole,Compton,nicole.compton318@slu.edu,nicole.compton917@gmail.com,BS,Information Systems,2017,Full-Time,Pittsburgh,PA,USA,94,Product Manager,.NET,Intern,86687,Handshake,https://www.linkedin.com/in/nicolecompton707,86282
53,Christine,Bass,christine.bass339@slu.edu,christine.bass772@outlook.com,MBA,Data Science,2016,Full-Time,Phoenix,AZ,USA,474,Product Manager,Hadoop,Part-Time,113553,Handshake,https://www.linkedin.com/in/christinebass127,94889
54,Patrick,Scott,patrick.scott612@slu.edu,patrick.scott553@gmail.com,MS,Business Analytics,2023,STEM-OPT,Peoria,IL,USA,832,Data Analyst,"Kubernetes, AWS, Java",Contract,100104,Glassdoor,https://www.linkedin.com/in/patrickscott320,83137
55,Crystal,Jackson,crystal.jackson769@slu.edu,crystal.jackson341@gmail.com,BA,Software Engineering,2018,Full-Time,Charlotte,NC,USA,798,DevOps Engineer,"GCP, Java",Intern,120204,Referral,https://www.linkedin.com/in/crystaljackson640,86106
56,Erik,Brown,erik.brown842@slu.edu,erik.brown68@outlook.com,BA,Business Analytics,2018,Full-Time,New York,NY,USA,523,Salesforce Developer,"C++, GCP",Full-Time,102616,Referral,https://www.linkedin.com/in/erikbrown591,33130
57,Katherine,Williamson,katherine.williamson13@slu.edu,katherine.williamson201@outlook.com,MBA,Business Analytics,2020,Full-Time,Clayton,MO,USA,606,QA Engineer,Java,Intern,52115,Campus Career Fair,https://www.linkedin.com/in/katherinewilliamson589,29998
58,John,Brown,john.brown634@slu.edu,john.brown604@gmail.com,MS,Cybersecurity,2016,Full-Time,Peoria,IL,USA,491,Salesforce Developer,Node.js,Full-Time,84481,Referral,https://www.linkedin.com/in/johnbrown491,47693
59,Sarah,Tyler,sarah.tyler727@slu.edu,sarah.tyler483@outlook.com,PhD,Cybersecurity,2024,CPT,Scottsdale,AZ,USA,96,DevOps Engineer,"Java, Node.js",Intern,76286,LinkedIn,https://www.linkedin.com/in/sarahtyler456,97516
60,Robert,Diaz,robert.diaz196@slu.edu,robert.diaz691@outlook.com,BS,Data Science,2017,Full-Time,Rochester,NY,USA,637,QA Engineer,"SQL, Node.js",Intern,117319,Indeed,https://www.linkedin.com/in/robertdiaz411,84046
61,Nicole,Green,nicole.green500@slu.edu,nicole.green704@outlook.com,BA,Data Science,2021,Full-Time,Somerville,MA,USA,860,DevOps Engineer,"R, Kubernetes, Spark",Full-Time,117979,Glassdoor,https://www.linkedin.com/in/nicolegreen939,67435
62,Jessica,Garcia,jessica.garcia163@slu.edu,jessica.garcia317@outlook.com,MBA,Information Systems,2023,OPT,Rochester,NY,USA,206,Business Analyst,"Tableau, Power BI",Contract,87489,Company Site,https://www.linkedin.com/in/jessicagarcia851,24387
63,Patricia,West,patricia.west816@slu.edu,patricia.west494@yahoo.com,MBA,Marketing,2024,CPT,Colorado Springs,CO,USA,299,DevOps Engineer,"JavaScript, Node.js, Kubernetes",Intern,121391,Company Site,https://www.linkedin.com/in/patriciawest157,97684
64,Natalie,Rogers,natalie.rogers575@slu.edu,natalie.rogers580@yahoo.com,MBA,Computer Science,2021,Full-Time,San Jose,CA,USA,322,ML Engineer,"Spark, Docker",Full-Time,109830,Campus Career Fair,https://www.linkedin.com/in/natalierogers932,70918
65,Amy,Walker,amy.walker448@slu.edu,amy.walker816@outlook.com,MS,Information Systems,2015,Full-Time,St. Louis,MO,USA,306,Data Analyst,"Hadoop, GCP",Contract,92047,Campus Career Fair,https://www.linkedin.com/in/amywalker558,66084
66,Vincent,Fuentes,vincent.fuentes181@slu.edu,vincent.fuentes256@outlook.com,PhD,Computer Science,2024,CPT,Colorado Springs,CO,USA,314,Data Analyst,"React, Tableau",Part-Time,103762,LinkedIn,https://www.linkedin.com/in/vincentfuentes190,41547
67,Bryan,Brown,bryan.brown968@slu.edu,bryan.brown750@gmail.com,PhD,Marketing,2020,Full-Time,Somerville,MA,USA,18,QA Engineer,Node.js,Intern,105991,Campus Career Fair,https://www.linkedin.com/in/bryanbrown177,73142
68,Alexis,Wilson,alexis.wilson529@slu.edu,alexis.wilson693@gmail.com,MS,Cybersecurity,2024,CPT,Atlanta,GA,USA,958,Product Manager,"Kubernetes, Docker, Snowflake",Part-Time,124820,LinkedIn,https://www.linkedin.com/in/alexiswilson440,61426
69,Joseph,Bullock,joseph.bullock987@slu.edu,joseph.bullock403@outlook.com,MS,Biostatistics,2018,Full-Time,Redmond,WA,USA,25,DevOps Engineer,R,Part-Time,93888,Campus Career Fair,https://www.linkedin.com/in/josephbullock590,68149
70,Emily,Williams,emily.williams89@slu.edu,emily.williams55@yahoo.com,BS,Business Analytics,2022,OPT,Cincinnati,OH,USA,238,DevOps Engineer,"C++, Spark",Contract,112006,Company Site,https://www.linkedin.com/in/emilywilliams399,15379
71,Hannah,Chan,hannah.chan893@slu.edu,hannah.chan523@yahoo.com,BA,Biostatistics,2016,Full-Time,Atlanta,GA,USA,582,Data Engineer,Azure,Part-Time,69522,Indeed,https://www.linkedin.com/in/hannahchan595,62162
72,Tina,Smith,tina.smith60@slu.edu,tina.smith735@yahoo.com,PhD,Marketing,2015,Full-Time,Cleveland,OH,USA,174,QA Engineer,".NET, Spark",Intern,96668,Campus Career Fair,https://www.linkedin.com/in/tinasmith629,13624
73,Patricia,Brown,patricia.brown640@slu.edu,patricia.brown311@yahoo.com,PhD,Computer Science,2019,Full-Time,Alpharetta,GA,USA,670,Data Engineer,"Hadoop, Kubernetes, GCP",Intern,82963,Company Site,https://www.linkedin.com/in/patriciabrown490,21204
74,Preston,Snyder,preston.snyder321@slu.edu,preston.snyder518@gmail.com,MS,Information Systems,2021,Full-Time,Philadelphia,PA,USA,140,Security Analyst,"JavaScript, Tableau, Docker",Part-Time,52550,Company Site,https://www.linkedin.com/in/prestonsnyder988,63405
75,Karen,Barry,karen.barry829@slu.edu,karen.barry442@yahoo.com,MS,Computer Science,2021,Full-Time,Houston,TX,USA,940,DevOps Engineer,"Node.js, Hadoop",Contract,97747,LinkedIn,https://www.linkedin.com/in/karenbarry942,29836
76,Stephen,Jones,stephen.jones707@slu.edu,stephen.jones87@yahoo.com,BS,Information Systems,2018,Full-Time,Albany,NY,USA,328,ML Engineer,GCP,Intern,105005,Referral,https://www.linkedin.com/in/stephenjones168,81427
77,Casey,King,casey.king111@slu.edu,casey.king102@yahoo.com,MS,Marketing,2022,STEM-OPT,New York,NY,USA,176,Salesforce Developer,"AWS, Hadoop, Azure",Contract,126470,Handshake,https://www.linkedin.com/in/caseyking748,28913
78,Chelsea,Hooper,chelsea.hooper279@slu.edu,chelsea.hooper73@outlook.com,PhD,Computer Science,2022,STEM-OPT,Miami,FL,USA,807,Data Analyst,"Hadoop, SQL, Java",Intern,93501,Campus Career Fair,https://www.linkedin.com/in/chelseahooper173,32300
79,Shannon,Johnson,shannon.johnson263@slu.edu,shannon.johnson388@outlook.com,MS,Marketing,2017,Full-Time,Atlanta,GA,USA,779,SDET,"Power BI, Hadoop",Part-Time,104562,Glassdoor,https://www.linkedin.com/in/shannonjohnson167,80001
80,Patrick,Vega,patrick.vega783@slu.edu,patrick.vega266@yahoo.com,BS,Information Systems,2016,Full-Time,Charlotte,NC,USA,16,SDET,"R, Hadoop",Full-Time,95506,Glassdoor,https://www.linkedin.com/in/patrickvega932,18980
81,Barry,Anderson,barry.anderson475@slu.edu,barry.anderson352@gmail.com,PhD,Information Systems,2015,Full-Time,Plano,TX,USA,90,ML Engineer,"Hadoop, Azure, Docker",Full-Time,107187,Campus Career Fair,https://www.linkedin.com/in/barryanderson567,08079
82,David,Rice,david.rice421@slu.edu,david.rice27@outlook.com,BA,Data Science,2021,Full-Time,Miami,FL,USA,555,Salesforce Developer,AWS,Intern,137529,LinkedIn,https://www.linkedin.com/in/davidrice932,99451
83,Regina,Clark,regina.clark951@slu.edu,regina.clark167@yahoo.com,BS,Computer Science,2015,Full-Time,Fort Collins,CO,USA,364,SDET,"R, React, AWS",Intern,122519,Glassdoor,https://www.linkedin.com/in/reginaclark632,86751
84,Sandra,Leach,sandra.leach800@slu.edu,sandra.leach226@gmail.com,BA,Finance,2017,Full-Time,Irvine,CA,USA,811,Security Analyst,"Tableau, GCP, Snowflake",Contract,144117,Referral,https://www.linkedin.com/in/sandraleach881,52557
85,Kelly,Hudson,kelly.hudson198@slu.edu,kelly.hudson734@gmail.com,BS,Data Science,2022,STEM-OPT,Charlotte,NC,USA,399,Product Manager,"SQL, JavaScript, .NET",Part-Time,98744,Handshake,https://www.linkedin.com/in/kellyhudson551,86788
86,Bonnie,Boyd,bonnie.boyd606@slu.edu,bonnie.boyd607@gmail.com,MBA,Software Engineering,2023,STEM-OPT,Pittsburgh,PA,USA,510,ML Engineer,"Snowflake, AWS, Azure",Intern,105919,Handshake,https://www.linkedin.com/in/bonnieboyd774,20044
87,Nicole,Deleon,nicole.deleon436@slu.edu,nicole.deleon154@yahoo.com,PhD,Electrical Engineering,2019,Full-Time,Worcester,MA,USA,115,DevOps Engineer,Python,Part-Time,110473,Campus Career Fair,https://www.linkedin.com/in/nicoledeleon135,66290
88,David,Wilson,david.wilson191@slu.edu,david.wilson750@yahoo.com,PhD,Software Engineering,2023,STEM-OPT,Chicago,IL,USA,653,Business Analyst,"AWS, SQL",Intern,106325,Indeed,https://www.linkedin.com/in/davidwilson928,09673
89,Alexander,Hernandez,alexander.hernandez995@slu.edu,alexander.hernandez822@outlook.com,MBA,Information Systems,2021,Full-Time,Tampa,FL,USA,503,QA Engineer,"Python, Kubernetes, JavaScript",Part-Time,77605,LinkedIn,https://www.linkedin.com/in/alexanderhernandez530,65356
90,Nicholas,Johnson,nicholas.johnson534@slu.edu,nicholas.johnson193@gmail.com,BS,Data Science,2025,CPT,Jacksonville,FL,USA,306,Security Analyst,"JavaScript, Java, Power BI",Intern,107470,Handshake,https://www.linkedin.com/in/nicholasjohnson182,02853
91,Diana,Mejia,diana.mejia521@slu.edu,diana.mejia45@yahoo.com,PhD,Computer Science,2024,CPT,Cary,NC,USA,746,QA Engineer,Azure,Contract,125937,Glassdoor,https://www.linkedin.com/in/dianamejia621,40484
92,William,Tucker,william.tucker220@slu.edu,william.tucker627@yahoo.com,PhD,Information Systems,2018,Full-Time,Miami,FL,USA,642,ML Engineer,Tableau,Full-Time,98297,LinkedIn,https://www.linkedin.com/in/williamtucker430,64820
93,Dana,Mclean,dana.mclean187@slu.edu,dana.mclean33@gmail.com,MS,Computer Science,2025,CPT,Pittsburgh,PA,USA,33,Data Engineer,"React, Python, Hadoop",Contract,101996,Referral,https://www.linkedin.com/in/danamclean863,92760
94,Laurie,Drake,laurie.drake492@slu.edu,laurie.drake16@outlook.com,MS,Business Analytics,2022,STEM-OPT,Austin,TX,USA,813,Data Analyst,"JavaScript, Python, Docker",Contract,98979,Campus Career Fair,https://www.linkedin.com/in/lauriedrake782,54524
95,Megan,Serrano,megan.serrano427@slu.edu,megan.serrano79@outlook.com,BA,Marketing,2016,Full-Time,Columbia,MO,USA,511,Data Analyst,Power BI,Contract,98486,LinkedIn,https://www.linkedin.com/in/meganserrano642,49057
96,Karla,Stewart,karla.stewart375@slu.edu,karla.stewart820@gmail.com,BA,Information Systems,2018,Full-Time,Pittsburgh,PA,USA,33,SDET,"Azure, Kubernetes, Node.js",Contract,79191,Referral,https://www.linkedin.com/in/karlastewart947,40413
97,Kaitlyn,Armstrong,kaitlyn.armstrong500@slu.edu,kaitlyn.armstrong143@yahoo.com,MS,Finance,2016,Full-Time,Miami,FL,USA,570,DevOps Engineer,"Python, SQL",Part-Time,105463,Glassdoor,https://www.linkedin.com/in/kaitlynarmstrong393,97058
98,Brittany,Hutchinson,brittany.hutchinson590@slu.edu,brittany.hutchinson119@yahoo.com,MS,Business Analytics,2017,Full-Time,Harrisburg,PA,USA,918,QA Engineer,"JavaScript, Snowflake",Full-Time,84356,Company Site,https://www.linkedin.com/in/brittanyhutchinson112,54905
99,Tammie,Brown,tammie.brown801@slu.edu,tammie.brown677@yahoo.com,MBA,Information Systems,2021,Full-Time,Boulder,CO,USA,182,Data Analyst,"Node.js, Spark",Part-Time,110229,Campus Career Fair,https://www.linkedin.com/in/tammiebrown878,73529
100,Jonathan,Jenkins,jonathan.jenkins771@slu.edu,jonathan.jenkins533@yahoo.com,BA,Business Analytics,2025,CPT,Tacoma,WA,USA,844,Data Analyst,"React, .NET",Part-Time,99520,Company Site,https://www.linkedin.com/in/jonathanjenkins930,80018
101,Lucas,Doyle,lucas.doyle943@slu.edu,lucas.doyle880@yahoo.com,PhD,Marketing,2023,STEM-OPT,Harrisburg,PA,USA,541,Product Manager,"Hadoop, Azure, C++",Intern,105362,Indeed,https://www.linkedin.com/in/lucasdoyle214,77474
102,Katherine,Stewart,katherine.stewart175@slu.edu,katherine.stewart788@gmail.com,MS,Cybersecurity,2016,Full-Time,Tucson,AZ,USA,147,QA Engineer,"Spark, Kubernetes, AWS",Contract,57846,Referral,https://www.linkedin.com/in/katherinestewart519,19683
103,Michael,Cain,michael.cain894@slu.edu,michael.cain709@yahoo.com,BS,Electrical Engineering,2023,OPT,Savannah,GA,USA,438,Salesforce Developer,"Power BI, R, GCP",Intern,105858,Company Site,https://www.linkedin.com/in/michaelcain997,81156
104,Paul,Swanson,paul.swanson685@slu.edu,paul.swanson307@yahoo.com,MS,Data Science,2015,Full-Time,Buffalo,NY,USA,976,ML Engineer,"Azure, C++",Intern,119602,LinkedIn,https://www.linkedin.com/in/paulswanson668,07794
105,Ann,Estrada,ann.estrada712@slu.edu,ann.estrada98@gmail.com,BS,Software Engineering,2020,Full-Time,Cambridge,MA,USA,664,Software Engineer,"R, Snowflake",Part-Time,117456,Referral,https://www.linkedin.com/in/annestrada431,24649
106,Christopher,Chen,christopher.chen66@slu.edu,christopher.chen131@outlook.com,PhD,Business Analytics,2015,Full-Time,Savannah,GA,USA,219,Data Engineer,React,Contract,95266,Company Site,https://www.linkedin.com/in/christopherchen422,69949
107,Brandi,Horton,brandi.horton36@slu.edu,brandi.horton913@outlook.com,PhD,Biostatistics,2024,CPT,Peoria,IL,USA,928,Salesforce Developer,GCP,Contract,101160,Company Site,https://www.linkedin.com/in/brandihorton400,14553
